股票代號     公司簡稱     開盤         最高         最低         昨收         漲停價       跌停價       當盤成交價   當盤成交量   累積成交量  
2302         麗正         4.5000       4.6000       4.4300       4.7300       5.2000       4.2600       4.5400       9            132         
2303         聯電         13.5500      13.8500      13.5000      13.8500      15.2000      12.5000      13.7500      6492         59326       
2329         華泰         8.4800       8.6900       8.3000       8.8100       9.6900       7.9300       8.3400       34           2986        
2330         台積電       257.0000     262.5000     252.0000     270.0000     297.0000     243.0000     255.0000     9912         76040       
2337         旺宏         23.0000      23.5000      22.3000      24.2500      26.6500      21.8500      22.4000      1471         48843       
2338         光罩         20.3500      21.2500      20.1000      22.0500      24.2500      19.8500      20.5000      140          3079        
2342         茂矽         17.5500      17.8000      17.1000      18.9500      20.8000      17.1000      17.1500      56           5107        
2344         華邦電       10.1000      10.2000      9.8000       10.7500      11.8000      9.6800       9.9600       1664         27999       
2351         順德         34.9500      36.0000      33.7000      36.2000      39.8000      32.6000      33.8000      8            581         
2363         矽統         7.4400       7.4400       7.0400       6.7700       7.4400       6.1000       7.4400       20           9505        
2369         菱生         7.2000       7.2100       6.8600       7.4300       8.1700       6.6900       6.9700       25           1747        
2379         瑞昱         163.0000     173.5000     162.0000     171.0000     188.0000     154.0000     168.5000     1559         5241        
2388         威盛         16.7000      17.6000      16.5000      18.0000      19.8000      16.2000      16.7000      15           559         
2401         凌陽         7.8400       7.8400       7.5600       7.9900       8.7800       7.2000       7.6800       67           1009        
2408         南亞科       46.9000      46.9500      44.0000      48.6500      53.5000      43.8000      44.2000      740          20665       
2434         統懋         5.4000       5.4000       4.8500       5.3500       5.8800       4.8200       4.9500       1            23          
2436         偉詮電       20.5500      20.5500      19.6000      21.0000      23.1000      18.9000      20.1500      18           730         
2441         超豐         34.9500      35.2500      33.9000      35.8000      39.3500      32.2500      34.8000      70           747         
2449         京元電子     29.9000      30.9000      28.8000      30.7000      33.7500      27.6500      29.6000      470          9572        
2451         創見         65.2000      68.0000      64.4000      66.1000      72.7000      59.5000      66.3000      43           1062        
2454         聯發科       307.0000     314.0000     296.0000     301.0000     331.0000     271.0000     308.0000     1232         20227       
2458         義隆         73.0000      73.4000      71.1000      75.2000      82.7000      67.7000      71.7000      161          2486        
2481         強茂         14.1000      15.5500      14.1000      15.0500      16.5500      13.5500      15.1000      54           1930        
3006         晶豪科       24.5000      25.2000      23.7000      25.9500      28.5000      23.4000      24.2500      38           1528        
3014         聯陽         36.0000      37.6000      35.3000      37.5500      41.3000      33.8000      36.8500      35           1804        
3016         嘉晶         45.8000      46.0000      43.2000      47.6500      52.4000      42.9000      43.3500      277          7373        
3034         聯詠         152.0000     157.0000     143.0000     152.0000     167.0000     137.0000     153.5000     670          7718        
3035         智原         30.1000      32.5000      30.0000      32.0500      35.2500      28.8500      32.1500      89           2131        
3041         揚智         11.9000      11.9000      11.2000      12.3500      13.5500      11.1500      11.2000      180          2117        
3054         立萬利       22.0000      22.0000      21.1000      22.9000      25.1500      20.6500      21.5000      1            12          
3094         聯傑         14.5000      14.7500      14.2500      15.0000      16.5000      13.5000      14.3500      7            164         
3189         景碩         31.9500      31.9500      30.3000      33.4000      36.7000      30.1000      31.1000      57           2151        
3257         虹冠電       44.5000      45.6000      44.5000      46.0000      50.6000      41.4000      45.6000      4            32          
3413         京鼎         95.7000      97.0000      92.0000      101.5000     111.5000     91.4000      93.0000      51           791         
3443         創意         162.0000     162.5000     155.0000     170.0000     187.0000     153.0000     156.0000     60           1613        
3530         晶相光       61.0000      61.9000      59.7000      66.3000      72.9000      59.7000      59.8000      53           1597        
3532         台勝科       134.0000     139.0000     130.5000     138.0000     151.5000     124.5000     135.0000     68           1974        
3536         誠創         2.6500       2.8400       2.6200       2.8900       3.1700       2.6100       -            -            50          
3545         敦泰         25.7000      26.1500      25.0000      26.6500      29.3000      24.0000      25.6500      90           3271        
3583         辛耘         34.5000      36.2000      34.2000      36.2500      39.8500      32.6500      35.0000      9            201         
3588         通嘉         22.0000      22.7000      21.4000      22.1500      24.3500      19.9500      22.6000      6            110         
3661         世芯-KY      153.5000     165.5000     149.0000     161.5000     177.5000     145.5000     160.0000     288          5749        
3686         達能         2.7300       2.8300       2.7200       2.9000       3.1900       2.6100       2.7500       3            186         
3711         日月光投控   50.8000      52.0000      50.5000      54.2000      59.6000      48.8000      51.0000      1133         13590       
4919         新唐         28.1500      28.8000      27.5000      29.1500      32.0500      26.2500      28.1000      40           757         
4952         凌通         24.1000      24.8000      23.6500      25.2000      27.7000      22.7000      24.5000      3            120         
4961         天鈺         19.9000      20.7500      19.5000      21.2000      23.3000      19.1000      20.3000      25           572         
4967         十銓         23.2500      25.5000      23.2500      25.8000      28.3500      23.2500      23.8000      98           5066        
4968         立積         98.2000      102.5000     94.6000      101.5000     111.5000     91.4000      99.5000      124          3171        
5269         祥碩         594.0000     635.0000     564.0000     626.0000     688.0000     564.0000     635.0000     81           1444        
5285         界霖         36.3000      36.3000      34.3500      37.3500      41.0500      33.6500      35.2000      16           268         
5305         敦南         36.5000      37.5000      35.1000      37.7500      41.5000      34.0000      37.2000      12           704         
5471         松翰         32.1500      34.1500      32.0500      33.8500      37.2000      30.5000      33.1500      101          2685        
6202         盛群         58.0000      59.5000      58.0000      60.0000      66.0000      54.0000      58.4000      27           894         
6239         力成         68.5000      73.2000      66.4000      70.6000      77.6000      63.6000      71.0000      609          6117        
6243         迅杰         5.5000       5.5000       5.3000       5.7600       6.3300       5.1900       5.3200       1            82          
6257         矽格         29.0000      29.5000      28.3000      30.0500      33.0500      27.0500      28.9000      74           2698        
6271         同欣電       92.3000      93.2000      89.2000      96.2000      105.5000     86.6000      91.5000      53           1808        
6415         矽力-KY      800.0000     847.0000     773.0000     770.0000     847.0000     693.0000     847.0000     9            1042        
6451         訊芯-KY      70.7000      72.5000      68.9000      75.3000      82.8000      67.8000      69.8000      42           1230        
6525         捷敏-KY      43.8000      43.8500      42.3000      45.2500      49.7500      40.7500      43.5000      1            175         
6531         愛普         76.8000      79.0000      73.5000      81.6000      89.7000      73.5000      78.0000      63           2163        
6533         晶心科       70.0000      75.9000      68.0000      72.7000      79.9000      65.5000      74.5000      18           545         
6552         易華電       39.4000      39.4000      37.3500      41.5000      45.6500      37.3500      39.1000      14           808         
6573         虹揚-KY      13.6500      13.6500      12.2500      13.5500      14.9000      12.2000      13.3000      4            87          
8016         矽創         100.5000     104.5000     98.0000      107.5000     118.0000     96.8000      102.0000     55           1852        
8028         昇陽半導體   37.5000      40.5000      37.1000      39.5000      43.4500      35.5500      39.0000      39           1453        
8081         致新         90.4000      95.2000      87.2000      93.7000      103.0000     84.4000      94.6000      16           1347        
8110         華東         6.9000       6.9300       6.7200       7.1700       7.8800       6.4600       6.8400       32           873         
8131         福懋科       29.7000      30.0000      29.0000      30.5000      33.5500      27.4500      29.4500      14           700         
8150         南茂         25.0500      25.5000      24.5000      25.9500      28.5000      23.4000      25.2000      140          3619        
8261         富鼎         15.2000      15.6500      14.9000      16.2500      17.8500      14.6500      15.3000      2            161         
8271         宇瞻         32.0000      32.7000      31.5000      33.2500      36.5500      29.9500      32.1500      27           1277        
