股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        5.04        5.05        4.97        4.92        5.41        4.43        4.98        1           159
2303        聯電        13.80       14.00       13.75       13.75       15.10       12.40       13.80       6172        90559
2329        華泰        9.00        9.23        8.90        8.90        9.79        8.01        8.90        102         4020
2330        台積電      269.50      272.50      260.00      268.00      294.50      241.50      260.00      11481       116353
2337        旺宏        26.15       26.30       24.50       25.35       27.85       22.85       24.50       3174        57437
2338        光罩        24.30       24.50       22.70       23.60       25.95       21.25       22.70       303         7169
2342        茂矽        24.20       24.20       21.05       23.35       25.65       21.05       21.05       271         8594
2344        華邦電      11.80       11.90       11.25       11.50       12.65       10.35       11.25       2429        38353
2351        順德        41.00       41.50       38.40       41.00       45.10       36.90       38.90       20          751
2363        矽統        5.90        5.96        5.54        5.80        6.38        5.22        5.60        92          2936
2369        菱生        8.40        8.40        7.81        8.06        8.86        7.26        7.81        181         2411
2379        瑞昱        182.50      187.00      179.50      184.50      202.50      166.50      180.00      502         5427
2388        威盛        20.20       20.55       18.80       19.75       21.70       17.80       18.80       63          998
2401        凌陽        8.46        8.56        8.18        8.36        9.19        7.53        8.24        26          1437
2408        南亞科      55.50       55.90       50.20       54.10       59.50       48.70       50.20       1537        21674
2434        統懋        6.21        6.21        5.70        6.21        6.83        5.59        5.70        1           122
2436        偉詮電      22.05       22.70       21.65       21.90       24.05       19.75       21.80       74          3010
2441        超豐        39.20       39.95       37.95       38.90       42.75       35.05       38.50       96          1204
2449        京元電子    30.20       31.75       30.20       30.00       33.00       27.00       30.90       319         15908
2451        創見        68.10       68.70       67.80       67.80       74.50       61.10       67.80       64          1438
2454        聯發科      315.50      321.50      301.50      315.50      347.00      284.00      301.50      983         13956
2458        義隆        75.50       76.40       73.70       73.70       81.00       66.40       73.70       243         6091
2481        強茂        16.35       16.55       15.00       16.15       17.75       14.55       15.20       129         5215
3006        晶豪科      28.00       28.50       26.65       27.50       30.25       24.75       26.70       113         2233
3014        聯陽        39.40       39.60       37.20       38.85       42.70       35.00       37.20       179         3521
3016        嘉晶        53.00       54.70       49.80       52.00       57.20       46.80       50.90       607         23378
3034        聯詠        171.00      173.50      168.00      170.00      187.00      153.00      168.50      489         5423
3035        智原        33.95       34.00       32.00       32.95       36.20       29.70       32.35       97          3684
3041        揚智        13.50       13.65       12.80       13.10       14.40       11.80       12.80       278         3266
3054        立萬利      22.90       22.90       22.20       22.85       25.10       20.60       22.30       5           48
3094        聯傑        15.70       16.20       15.45       15.90       17.45       14.35       15.75       100         423
3189        景碩        36.00       36.15       34.35       35.20       38.70       31.70       34.50       114         5596
3257        虹冠電      47.40       47.50       46.60       47.40       52.10       42.70       46.85       26          170
3413        京鼎        107.50      107.50      103.00      104.00      114.00      93.60       103.00      116         2337
3443        創意        187.00      192.00      177.50      185.00      203.50      166.50      177.50      102         1791
3530        晶相光      76.00       77.10       68.80       74.10       81.50       66.70       68.90       157         2474
3532        台勝科      142.00      150.00      133.50      143.00      157.00      129.00      133.50      296         5994
3536        誠創        3.21        3.21        3.21        3.56        3.91        3.21        -           -           44
3545        敦泰        27.20       28.30       26.15       27.25       29.95       24.55       27.10       216         7689
3583        辛耘        38.80       39.70       37.80       38.70       42.55       34.85       37.85       22          489
3588        通嘉        20.00       21.80       20.00       20.60       22.65       18.55       21.20       6           374
3661        世芯-KY     177.00      179.00      165.00      172.00      189.00      155.00      165.00      536         8782
3686        達能        3.29        3.29        3.15        3.29        3.61        2.97        3.27        6           339
3711        日月光投控  57.40       57.60       55.50       57.70       63.40       52.00       55.50       1192        16782
4919        新唐        30.25       31.30       30.20       30.20       33.20       27.20       30.20       99          1244
4952        凌通        26.90       26.90       25.95       26.45       29.05       23.85       26.05       19          411
