股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2302        麗正        6.4200      7.0100      6.4100      6.3800      7.0100      5.7500      -           -           1693        
2303        聯電        13.8500     13.9500     13.7500     14.0000     15.4000     12.6000     13.9500     7738        38734       
2329        華泰        9.3500      9.4800      9.1000      9.4200      10.3500     8.4800      9.4800      56          1599        
2330        台積電      263.5000    269.0000    262.5000    273.0000    300.0000    246.0000    267.5000    5411        48934       
2337        旺宏        24.8500     25.8000     24.7000     25.9000     28.4500     23.3500     25.6000     1702        40171       
2338        光罩        23.6500     24.9000     23.6000     24.2000     26.6000     21.8000     24.7000     144         4131        
2342        茂矽        19.3500     20.6500     19.1500     20.2000     22.2000     18.2000     20.2000     142         3216        
2344        華邦電      11.2000     11.7000     11.1000     11.6500     12.8000     10.5000     11.7000     1667        20047       
2351        順德        36.9000     37.8000     36.3000     38.2500     42.0500     34.4500     37.7000     5           597         
2363        矽統        7.9800      8.2000      7.9800      7.9800      8.7700      7.1900      8.0800      108         5171        
2369        菱生        8.0000      8.3000      7.8800      8.1000      8.9100      7.2900      8.2900      47          1736        
2379        瑞昱        197.5000    202.0000    194.5000    201.0000    221.0000    181.0000    199.0000    491         4306        
2388        威盛        18.5500     19.3000     18.3000     19.2500     21.1500     17.3500     19.3000     50          621         
2401        凌陽        8.3300      8.6000      8.2100      8.6000      9.4600      7.7400      8.6000      20          840         
2408        南亞科      52.8000     54.4000     52.0000     55.0000     60.5000     49.5000     53.9000     971         18915       
2434        統懋        5.3600      5.3600      5.3600      5.3600      5.8900      4.8300      5.3600      2           2           
2436        偉詮電      21.4500     21.7500     21.2000     21.9000     24.0500     19.7500     21.7500     19          545         
2441        超豐        38.1500     39.7500     37.1000     38.3500     42.1500     34.5500     39.6500     76          1112        
2449        京元電子    30.1500     30.6500     29.8000     31.0000     34.1000     27.9000     30.4000     413         6674        
2451        創見        67.0000     67.5000     66.0000     68.3000     75.1000     61.5000     66.9000     41          750         
2454        聯發科      329.5000    336.5000    323.0000    340.0000    374.0000    306.0000    336.5000    1122        10670       
2458        義隆        80.1000     83.3000     80.1000     82.4000     90.6000     74.2000     83.0000     162         4794        
2481        強茂        17.3000     18.4500     17.1500     17.9500     19.7000     16.2000     18.4500     128         2421        
3006        晶豪科      27.0000     28.2000     26.8500     27.6500     30.4000     24.9000     28.1500     64          1245        
3014        聯陽        38.0500     39.3000     37.9000     39.1000     43.0000     35.2000     39.2500     21          1075        
3016        嘉晶        46.2000     49.2000     46.0000     47.1000     51.8000     42.4000     49.2000     331         5335        
3034        聯詠        168.5000    174.0000    166.0000    172.0000    189.0000    155.0000    173.5000    466         3356        
3035        智原        35.0000     36.7000     34.6000     36.2000     39.8000     32.6000     36.7000     104         2108        
3041        揚智        11.9000     12.6000     11.9000     12.2500     13.4500     11.0500     12.4500     53          1160        
3054        立萬利      24.6000     25.8000     24.2500     24.7000     27.1500     22.2500     -           -           60          
3094        聯傑        15.2000     15.3500     14.9000     15.3500     16.8500     13.8500     15.3500     11          155         
3189        景碩        35.1500     38.4500     35.1500     36.7500     40.4000     33.1000     38.3000     184         4879        
3257        虹冠電      45.5000     46.2500     45.0000     46.7000     51.3000     42.0500     -           -           54          
3413        京鼎        108.0000    115.0000    108.0000    114.5000    125.5000    103.5000    115.0000    55          1706        
3443        創意        174.5000    187.0000    173.0000    180.0000    198.0000    162.0000    187.0000    95          1023        
3530        晶相光      67.3000     73.0000     67.2000     71.5000     78.6000     64.4000     73.0000     70          1398        
3532        台勝科      125.0000    129.5000    122.0000    127.0000    139.5000    114.5000    129.0000    57          1924        
3536        誠創        2.9200      3.2200      2.9200      3.2300      3.5500      2.9100      -           -           18          
3545        敦泰        26.5000     28.9000     26.4500     27.1000     29.8000     24.4000     28.9000     322         5678        
3583        辛耘        38.2000     38.4000     37.3000     38.5500     42.4000     34.7000     38.3000     4           124         
3588        通嘉        23.3000     24.0000     22.6000     23.3000     25.6000     21.0000     23.6500     3           93          
3661        世芯-KY     190.5000    200.5000    188.5000    196.5000    216.0000    177.0000    200.0000    314         5340        
3686        達能        2.8900      2.8900      2.7700      2.9300      3.2200      2.6400      2.8500      2           187         
3711        日月光投控  57.5000     60.3000     57.0000     59.8000     65.7000     53.9000     59.2000     2192        11944       
4919        新唐        30.1000     31.0500     29.8000     30.7500     33.8000     27.7000     31.0500     17          499         
4952        凌通        25.9500     26.0500     25.3500     26.0500     28.6500     23.4500     26.0500     1           116         
4961        天鈺        22.9000     23.6500     22.6000     23.3500     25.6500     21.0500     23.5500     6           461         
4967        十銓        32.4000     33.5000     31.8500     34.7500     38.2000     31.3000     32.8500     279         8733        
4968        立積        109.5000    122.0000    109.5000    113.5000    124.5000    102.5000    119.5000    170         4357        
5269        祥碩        773.0000    802.0000    760.0000    780.0000    858.0000    702.0000    802.0000    105         1599        
5285        界霖        37.0000     37.9000     36.4000     38.0000     41.8000     34.2000     37.5000     2           142         
5305        敦南        39.7000     39.8000     39.2000     39.8000     43.7500     35.8500     39.7500     2           199         
5471        松翰        35.0500     36.6500     35.0500     36.0000     39.6000     32.4000     36.2000     261         4433        
6202        盛群        59.0000     60.1000     58.6000     59.4000     65.3000     53.5000     60.1000     65          658         
6239        力成        81.0000     84.9000     80.5000     83.6000     91.9000     75.3000     83.9000     397         4243        
6243        迅杰        5.8300      5.8300      5.7500      5.8600      6.4400      5.2800      5.8000      6           42          
6257        矽格        30.2000     30.9000     29.9500     30.6500     33.7000     27.6000     30.7000     105         2319        
6271        同欣電      107.5000    110.5000    104.5000    111.0000    122.0000    99.9000     109.0000    117         2864        
6415        矽力-KY     1000.0000   1000.0000   980.0000    1005.0000   1105.0000   905.0000    989.0000    13          140         
6451        訊芯-KY     84.0000     86.8000     81.6000     86.9000     95.5000     78.3000     86.7000     48          1905        
6525        捷敏-KY     46.5000     47.3500     46.0000     47.5500     52.3000     42.8000     47.3500     5           189         
6531        愛普        85.0000     87.3000     82.5000     87.5000     96.2000     78.8000     86.2000     144         3185        
6533        晶心科      79.0000     83.5000     78.9000     81.8000     89.9000     73.7000     81.8000     28          383         
6552        易華電      44.1000     47.0000     43.7000     45.8500     50.4000     41.3000     46.8500     27          768         
6573        虹揚-KY     13.3000     14.2000     13.1500     13.9500     15.3000     12.6000     13.9500     2           51          
8016        矽創        114.0000    118.5000    112.5000    117.5000    129.0000    106.0000    118.0000    56          1799        
8028        昇陽半導體  42.1000     43.6000     41.7000     43.5000     47.8500     39.1500     43.3000     40          1276        
8081        致新        97.5000     102.0000    96.5000     100.0000    110.0000    90.0000     101.5000    27          896         
8110        華東        7.7700      7.9200      7.5700      7.9400      8.7300      7.1500      7.8900      11          692         
8131        福懋科      31.2000     32.1500     30.8500     32.0000     35.2000     28.8000     32.1000     9           489         
8150        南茂        25.5000     26.7500     25.3000     26.1500     28.7500     23.5500     26.6000     131         3517        
8261        富鼎        17.4000     18.0000     17.1500     17.9500     19.7000     16.2000     18.0000     7           283         
8271        宇瞻        35.5000     36.6000     35.0000     35.8000     39.3500     32.2500     36.4500     71          1889        
2301        光寶科      41.2000     41.3000     40.3500     40.9500     45.0000     36.9000     41.0000     1618        5727        
2305        全友        3.8200      4.3300      3.8200      4.1500      4.5600      3.7400      4.2000      16          359         
2324        仁寶        17.1500     17.4500     16.9500     17.4000     19.1000     15.7000     17.3000     2210        12316       
2331        精英        8.1500      8.2700      8.0100      8.3000      9.1300      7.4700      8.1500      15          329         
2352        佳世達      14.8000     15.2500     14.6500     15.1000     16.6000     13.6000     15.1000     186         3732        
2353        宏碁        14.7000     16.2000     14.6500     14.7500     16.2000     13.3000     16.2000     1624        55594       
2356        英業達      21.6500     22.1500     21.4500     21.7500     23.9000     19.6000     22.1000     1170        6711        
2357        華碩        191.5000    194.5000    189.0000    192.0000    211.0000    173.0000    193.0000    309         2605        
2362        藍天        27.7000     28.6500     27.6000     28.2000     31.0000     25.4000     28.6000     74          756         
2364        倫飛        2.0100      2.0100      1.9900      1.8900      2.0700      1.7100      2.0000      97          280         
2365        昆盈        6.9000      7.3000      6.7400      6.9900      7.6800      6.3000      7.1000      6           897         
2376        技嘉        46.6500     47.8000     46.0000     46.8500     51.5000     42.2000     46.8500     366         8562        
2377        微星        83.0000     85.8000     81.7000     84.1000     92.5000     75.7000     84.2000     458         3934        
2380        虹光        3.1300      3.1300      3.0400      3.1100      3.4200      2.8000      3.0400      20          81          
2382        廣達        59.1000     60.0000     58.6000     60.2000     66.2000     54.2000     59.6000     1310        7046        
2387        精元        23.5000     25.1000     23.3500     24.0000     26.4000     21.6000     25.1000     191         4336        
